"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CRSK-1742","https://onemain.atlassian.net/browse/CRSK-1742","CRSK1-198","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-198","Task","Enable switch (byte-stream vs Java objects) at ACAPS level","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1743","https://onemain.atlassian.net/browse/CRSK-1743","CRSK1-199","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-199","Task","Enable switch (byte-stream vs Java objects) at SM level","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1744","https://onemain.atlassian.net/browse/CRSK-1744","CRSK1-200","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-200","Task","Integration Testing","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1745","https://onemain.atlassian.net/browse/CRSK-1745","CRSK1-201","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-201","Task","Deployment Strategy Planning","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1751","https://onemain.atlassian.net/browse/CRSK-1751","CRSK1-204","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-204","Task","Assess and document decoupling benefits","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2041","https://onemain.atlassian.net/browse/CRSK-2041",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Reuse_segmentation_cd validation by ACAPS.","CRSK-2068","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1399","https://onemain.atlassian.net/browse/CRSK-1399","CRSK1-213","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-213","Task","2023 Credit Risk Testing Support August","CRSK-1398","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2706","https://onemain.atlassian.net/browse/CRSK-2706","CRSK1-235","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-235","Story","Create Pre-Prod Environment for Openshift Pulse","CRSK-2220","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2203","https://onemain.atlassian.net/browse/CRSK-2203",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Loancalc - F2L Decision Category Matrix to be updated in SM.","CRSK-2202","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2069","https://onemain.atlassian.net/browse/CRSK-2069",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","reuse score seg and numeric rg","CRSK-2068","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2245","https://onemain.atlassian.net/browse/CRSK-2245","CRSK1-263","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-263","Task","Document environment alignment with Pulse OS and ACAPS","CRSK-2219","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1335","https://onemain.atlassian.net/browse/CRSK-1335","CRSK1-276","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-276","Task","2023 Credit Risk Testing Support July","CRSK-873","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1358","https://onemain.atlassian.net/browse/CRSK-1358","CRSK1-278","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-278","Task","Adjust rescore decision outcomes to be in compliance with counteroffer strategy","CRSK-1356","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2318","https://onemain.atlassian.net/browse/CRSK-2318","CRSK1-281","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-281","Task","Pulse - OpenShift - ENS v3 Worker gRPC","CRSK-2220","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-2363","https://onemain.atlassian.net/browse/CRSK-2363",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Add ThinkWallet to Affiliate rest credit box","CRSK-2362","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
