"FieldId","FieldName","FieldType","UsageCount","MigrationPriority","IsSearchable","ClauseNames"
"customfield_10298","Epic Approval","Error","-1","UNKNOWN","False","Error"
"customfield_10177","Deployed to Post Release","Error","-1","UNKNOWN","False","Error"
"customfield_10175","Deployed to PROD Status","Error","-1","UNKNOWN","False","Error"
"customfield_10296","Affected services","Error","-1","UNKNOWN","False","Error"
"customfield_10297","Withdraw Alert!!","Error","-1","UNKNOWN","False","Error"
"customfield_11382","Begin Date (migrated) (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10186","Validation Priority","Error","-1","UNKNOWN","False","Error"
"customfield_10187","Date added to Deployment","Error","-1","UNKNOWN","False","Error"
"customfield_10188","Dependency","Error","-1","UNKNOWN","False","Error"
"customfield_10183","Post Implementation Validation","Error","-1","UNKNOWN","False","Error"
"customfield_10184","Post Implementation Testers","Error","-1","UNKNOWN","False","Error"
"customfield_10185","Rollout Switch","Error","-1","UNKNOWN","False","Error"
"customfield_10170","Deployed to Regression Status","Error","-1","UNKNOWN","False","Error"
"customfield_10292","Deployment Summary","Error","-1","UNKNOWN","False","Error"
"customfield_10171","Received Regression Callback","Error","-1","UNKNOWN","False","Error"
"customfield_10189","Testing Communication","Error","-1","UNKNOWN","False","Error"
"customfield_10290","Approvers: Secure Code","Error","-1","UNKNOWN","False","Error"
"customfield_10291","Deployment Key","Error","-1","UNKNOWN","False","Error"
"customfield_10240","Request participants","Error","-1","UNKNOWN","False","Error"
"customfield_10362","Legal/Compliance Engaged?","Error","-1","UNKNOWN","False","Error"
"customfield_10120","External issue ID","Error","-1","UNKNOWN","False","Error"
"customfield_10128","ENV","Error","-1","UNKNOWN","False","Error"
"customfield_10249","Critical","Error","-1","UNKNOWN","False","Error"
"customfield_10129","LAN_ID","Error","-1","UNKNOWN","False","Error"
"customfield_10242","Deployment Approval","Error","-1","UNKNOWN","False","Error"
"customfield_10122","Business Partner","Error","-1","UNKNOWN","False","Error"
"customfield_10364","Cross Department Impact?","Error","-1","UNKNOWN","False","Error"
"customfield_10000","Development","Error","-1","UNKNOWN","False","Error"
"customfield_10363","One Support Engaged?","Error","-1","UNKNOWN","False","Error"
"customfield_10121","Health Check","Error","-1","UNKNOWN","False","Error"
"customfield_10127","External issue ID","Error","-1","UNKNOWN","False","Error"
"customfield_10378","Date moved from Deployment","Error","-1","UNKNOWN","False","Error"
"customfield_10136","Approving Manager","Error","-1","UNKNOWN","False","Error"
"customfield_10257","PMD Categorization","Error","-1","UNKNOWN","False","Error"
"customfield_10014","Epic Link","Error","-1","UNKNOWN","False","Error"
"customfield_10135","Github Team","Error","-1","UNKNOWN","False","Error"
"customfield_10256","CMS Approval Date","Error","-1","UNKNOWN","False","Error"
"customfield_10126","Value Score","Error","-1","UNKNOWN","False","Error"
"customfield_10005","Change type","Error","-1","UNKNOWN","False","Error"
"customfield_10369","Impact to Blocked Issues","Error","-1","UNKNOWN","False","Error"
"customfield_10015","Start date","Error","-1","UNKNOWN","False","Error"
"customfield_10368","Deployed to DevInt Status","Error","-1","UNKNOWN","False","Error"
"customfield_10247","Run Instructions","Error","-1","UNKNOWN","False","Error"
"customfield_10243","QA Deployment Date","Error","-1","UNKNOWN","False","Error"
"customfield_10358","End User Coordination Effort","Error","-1","UNKNOWN","False","Error"
"customfield_10116","Integrated Test Data Available","Error","-1","UNKNOWN","False","Error"
"customfield_10237","Planned Live Date","Error","-1","UNKNOWN","False","Error"
"customfield_10357","Risk and Impact Analysis","Error","-1","UNKNOWN","False","Error"
"customfield_10236","Verification Priority","Error","-1","UNKNOWN","False","Error"
"customfield_10115","Integrated Test Data and date/method requested","Error","-1","UNKNOWN","False","Error"
"customfield_11050","Configuration Item ID (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_11053","Risk Approver Required (New)","Error","-1","UNKNOWN","False","Error"
"customfield_11178","Begin Date (migrated 2) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10359","OKR","Error","-1","UNKNOWN","False","Error"
"customfield_11207","Planned Start Date (migrated 2)","Error","-1","UNKNOWN","False","Error"
"customfield_11083","End User Coordination Effort (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10004","Impact","Error","-1","UNKNOWN","False","Error"
"customfield_10365","Trail Blazers Needed?","Error","-1","UNKNOWN","False","Error"
"customfield_11698","End User Coordination Effort (migrated) (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10366","Category","Error","-1","UNKNOWN","False","Error"
"customfield_10001","Team","Error","-1","UNKNOWN","False","Error"
"customfield_10244","Assumptions","Error","-1","UNKNOWN","False","Error"
"customfield_10002","Organizations","Error","-1","UNKNOWN","False","Error"
"customfield_10125","Probability","Error","-1","UNKNOWN","False","Error"
"customfield_10246","Request Type","Error","-1","UNKNOWN","False","Error"
"customfield_10367","Deployed to DevInt","Error","-1","UNKNOWN","False","Error"
"customfield_10245","External issue ID","Error","-1","UNKNOWN","False","Error"
"customfield_10124","Issue Attribute(s)","Error","-1","UNKNOWN","False","Error"
"customfield_10003","Approvers","Error","-1","UNKNOWN","False","Error"
"customfield_10023","[CHART] Time in Status","Error","-1","UNKNOWN","False","Error"
"customfield_10386","Defect Link2","Error","-1","UNKNOWN","False","Error"
"customfield_10265","Workfront Automation Required","Error","-1","UNKNOWN","False","Error"
"customfield_10264","T-Shirt Size","Error","-1","UNKNOWN","False","Error"
"customfield_10022","[CHART] Date of First Response","Error","-1","UNKNOWN","False","Error"
"customfield_10385","Integrated Deployment Link","Error","-1","UNKNOWN","False","Error"
"customfield_10266","Workfront Reference Number","Error","-1","UNKNOWN","False","Error"
"customfield_10267","Business Sponsor","Error","-1","UNKNOWN","False","Error"
"customfield_10268","Executive Sponsor","Error","-1","UNKNOWN","False","Error"
"customfield_10144","Project Lead","Error","-1","UNKNOWN","False","Error"
"customfield_10387","Deployment Notes","Error","-1","UNKNOWN","False","Error"
"customfield_10145","Work Type","Error","-1","UNKNOWN","False","Error"
"customfield_10143","Project","Error","-1","UNKNOWN","False","Error"
"customfield_10261","Product Lead","Error","-1","UNKNOWN","False","Error"
"customfield_10382","Impact in Case of Change Failure","Error","-1","UNKNOWN","False","Error"
"customfield_10141","External issue ID","Error","-1","UNKNOWN","False","Error"
"customfield_10380","Testing Oversight","Error","-1","UNKNOWN","False","Error"
"customfield_10260","Secure Code Review Date","Error","-1","UNKNOWN","False","Error"
"customfield_10381","Outage and Backout Duration","Error","-1","UNKNOWN","False","Error"
"customfield_10142","Project Type","Error","-1","UNKNOWN","False","Error"
"customfield_10021","Flagged","Error","-1","UNKNOWN","False","Error"
"customfield_11594","Category (migrated) (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10383","Risk","Error","-1","UNKNOWN","False","Error"
"customfield_10020","Sprint","Error","-1","UNKNOWN","False","Error"
"customfield_10384","Deployment Link","Error","-1","UNKNOWN","False","Error"
"customfield_10026","Story Points","Error","-1","UNKNOWN","False","Error"
"customfield_10131","Github Username","Error","-1","UNKNOWN","False","Error"
"customfield_10011","Epic Name","Error","-1","UNKNOWN","False","Error"
"customfield_10375","Checklist Completed","Error","-1","UNKNOWN","False","Error"
"customfield_10130","Requested For","Error","-1","UNKNOWN","False","Error"
"customfield_11460","Regulatory/Compliance/Legal (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10010","Request Type","Error","-1","UNKNOWN","False","Error"
"customfield_10013","Epic Color","Error","-1","UNKNOWN","False","Error"
"customfield_10255","CMS Approver","Error","-1","UNKNOWN","False","Error"
"customfield_10377","Checklist Text","Error","-1","UNKNOWN","False","Error"
"customfield_10254","Override Environment","Error","-1","UNKNOWN","False","Error"
"customfield_10012","Epic Status","Error","-1","UNKNOWN","False","Error"
"customfield_10134","Github Organizations","Error","-1","UNKNOWN","False","Error"
"customfield_10251","Override","Error","-1","UNKNOWN","False","Error"
"customfield_10016","Story point estimate","Error","-1","UNKNOWN","False","Error"
"customfield_10138","Business Context","Error","-1","UNKNOWN","False","Error"
"customfield_10017","Issue color","Error","-1","UNKNOWN","False","Error"
"customfield_10137","Program","Error","-1","UNKNOWN","False","Error"
"customfield_10258","Reviewers: Secure Code","Error","-1","UNKNOWN","False","Error"
"customfield_10379","Validation Plan","Error","-1","UNKNOWN","False","Error"
