"ProjectKey","ProjectStatus","LinkedProjectKeys","LinkCount","GeneratedAt"
"PLAQ","Active","ACQ; BOKR; CES; CRSK; EOKR; ORL; PLAT; PLOS; TOKR","9","2025-09-26 06:57:17"
"PLAT","Active","PLAQ","1","2025-09-26 06:57:17"
"PLOS","Active","BOKR; CACS; CES; CI; DEP; EMC; ENGOPS; EOKR; ORL; PLAQ; TOKR","11","2025-09-26 06:57:17"
"POP","Active","CI; CLSS; CMP; DBA; EMC; LAS; NOW; OSO; PS; SNOW; SRE; TCA; WI","13","2025-09-26 06:57:17"
"POS","Active","AI; CI; DAWA; LAS","4","2025-09-26 06:57:17"
"RC","Active","","0","2025-09-26 06:57:17"
"REM","Active","COL; FORMS; LAS; ORL","4","2025-09-26 06:57:17"
"SCOF","Active","","0","2025-09-26 06:57:17"
"SCON","Active","","0","2025-09-26 06:57:17"
"SE","Active","","0","2025-09-26 06:57:17"
"SEN","Active","","0","2025-09-26 06:57:17"
"SHP","Active","","0","2025-09-26 06:57:17"
"SIGN","Active","ACQ; CACS; CAPS; CI; CLSS; DBA; DOC; DPSS; EMC; ENGOPS; ESDL; ESIG; FORMS; ORL; PAY; QUAL; SRE; TOKR","18","2025-09-26 06:57:17"
"SRE","Active","ACQE; AUT; CACS; CAR; CES; CI; CIA; CISRE; CNE; CNO; CNSS; COL; COMP; CRSK; DAWA; DCI; EMC; ENGOPS; ESDL; ESIG; ESYS; IAM; IMG; MCCE; OAE; ORL; OSO; PAY; PDS; PIE; POP; SIGN; TOEP; UPT","34","2025-09-26 06:57:17"
"STAN","Active","","0","2025-09-26 06:57:17"
"STNRD","Active","","0","2025-09-26 06:57:17"
"SVCCOL","Active","COL","1","2025-09-26 06:57:17"
"TAM","Active","","0","2025-09-26 06:57:17"
"TCA","Active","","0","2025-09-26 06:57:17"
"TO","Active","","0","2025-09-26 06:57:17"
"TOCA","Active","AI; CACS; CAD; CARC; DBA; DCI; PDS","7","2025-09-26 06:57:17"
"TOEP","Active","","0","2025-09-26 06:57:17"
"TOKR","Active","","0","2025-09-26 06:57:17"
