"ProjectKey","ProjectName","ResolvedCount","UnresolvedCount","TotalIssues"
"PIE","PIE - Platform and Infrastructure Engineering (Enterprise)","0","0","0"
"UX","UX Design Team","0","0","0"
"UN","Unified Customer Profile","0","0","0"
"DCOM","CNSS - Telephony","0","0","0"
"DCI","PIE - Enterprise Engineering Infrastructure","0","0","0"
"LNL","Lunch and Learn","0","0","0"
"TOKR","Technology OKRs","0","0","0"
"TOEP","Technology, Operations, & Engineering Portfolio Management","0","0","0"
"DAWA","Data Warehouse","0","0","0"
"JOP","Jira OKR Pilot Project","0","0","0"
"CDAD","Cyber Detection and Alerting Data Lake","0","0","0"
"CBRE","RC - Credit Bureau Reporting","0","0","0"
"CIA","Customers Identity and Access Management","0","0","0"
"FS","Foursight Tech/Cyber","0","0","0"
"DOT","Digital Organization Training","0","0","0"
"DEPI","DevOps Platform Intake","0","0","0"
"ESDL","Enterprise Services Data Lake","0","0","0"
"TDC","CFOPS-Tech Debt Council","0","0","0"
"BINT","Business Intelligence","0","0","0"
"DS","Design System","0","0","0"
"CARC","CTECH - Cybersecurity Architecture","0","0","0"
"ETAC","ETAC - Enterprise Technology Audit Compliance","0","0","0"
"EMC","Enterprise Monitoring Center","0","0","0"
"ORL","Originations","0","0","0"
"LAS","LAS","0","0","0"
"MCLNE","Comms  - Comms Lane","0","0","0"
"CISRE","Cloud Infrastructure - SRE","0","0","0"
"ACQ","ACQ - Acquisitions Lane","0","0","0"
"MES","PIE - Microsoft 365 Engineering","0","0","0"
"CDL","Cards Data Lake","0","0","0"
"IAM","Identity and Access Management","0","0","0"
"DBEAN","SVC - ACT","0","0","0"
"CCOL","CNSS - Collaboration","0","0","0"
"CNS","CNSS - Network Security","0","0","0"
"NELT","CAFES","0","0","0"
"ENGOPS","Engineering Operations","0","0","0"
"OPSAN","Operations - Ops Analytics","0","0","0"
"PSM","INEN - Production Services Mainframe","0","0","0"
"CONT","RC - Internal Content","0","0","0"
"JAP","Jira Archive / Cleanup Project","0","0","0"
"OSO","Technology Operations Network Cloud Servers","0","0","0"
"DARC","Database Architecture","0","0","0"
"CSF","CARDS SF Deployments","0","0","0"
"ACQE","ACQ Enablement Team","0","0","0"
"CAD","RC - Custom Application Development","0","0","0"
"CUSD","Consumer Domain","0","0","0"
"CCAL","C&A - Credit & Analytics Lane","0","0","0"
"CFOPS","CFOPS - Customer Facing Applications Lane","0","0","0"
"DEP","DevOps Engineering Platform","0","0","0"
"MOD","Modus Jira Product Management","0","0","0"
"EA","Enterprise Architecture","0","0","0"
"MCCE","Customer Comms Engineering","0","0","0"
"SE","Securitization","0","0","0"
"MCACQ","Comms - Loan Acquisition","0","0","0"
"MCCOL","Comms - Loan SVC Collections","0","0","0"
"COMMS","Communications","0","0","0"
"HRES","RC - Human Resources","0","0","0"
"INTG","INTG - Integration and Orchestration Platform","0","0","0"
"CAPE","Credit & Analytics Pricing Enhancements","0","0","0"
"CRSK","C&A - Credit Risk Management","0","0","0"
"CJI","Customer Journey Intelligence","0","0","0"
"COPS","CTECH - Cybersecurity Operations","0","0","0"
"INI","Initiatives","0","0","0"
"ONE","OneApp","0","0","0"
"LAW","RC - Law Coding","0","0","0"
"TP","Test Project","0","0","0"
"FLDR","Field Reporting","0","0","0"
"WL","Whole Loans","0","0","0"
"STAN","Strategy Analytics","0","0","0"
"ZCS","INEN - Z Core Systems","0","0","0"
"TRIM","TRIM","0","0","0"
"TO","Test OKR","0","0","0"
"DLP","DLP","0","0","0"
