"Id","Name","Description","DefaultWorkflow","IssueTypeMappingsCount","Self","GeneratedAt"
"10299","Product Team Simple Workflow Scheme v2","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","Product NonCode Workflow v7","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10299","2025-09-24 15:58:20"
"10300","CMT Workflow Scheme","","CMT:Epic Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10300","2025-09-24 15:58:20"
"10302","TOE : Product Team Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","ORL Defect Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10302","2025-09-24 15:58:20"
"10303","CMP Workflow Scheme","","CMP Simplified Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10303","2025-09-24 15:58:20"
"10305","NGDSS Workflow Scheme v3","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","Product NonCode Workflow v7","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10305","2025-09-24 15:58:20"
"10306","CITM Workflow Scheme","","CITM Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10306","2025-09-24 15:58:20"
"10307","Pilot Project Workflow Scheme (migrated)","For projects created and stripped back to baseline default configurations (Migrated on 18 Dec 2023 13:11 UTC)","Pilot Workflow #1 v2","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10307","2025-09-24 15:58:20"
"10308","GENAI Workflow Scheme","","GENAI: Sub-task Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10308","2025-09-24 15:58:20"
"10310","TP3: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project TP3","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10310","2025-09-24 15:58:20"
"10311","TP4: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project TP4","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10311","2025-09-24 15:58:20"
"10312","Product Team Workflow Scheme v4","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","Product NonCode Workflow v7","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10312","2025-09-24 15:58:20"
"10314","CARD: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project CARD","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10314","2025-09-24 15:58:20"
"10349","EK: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 26 Feb 2025 20:06 UTC)","EK: Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10349","2025-09-24 15:58:20"
"10382","EG: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 11 Mar 2025 18:35 UTC)","EG: Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10382","2025-09-24 15:58:20"
"10383","EK2: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 11 Mar 2025 19:39 UTC)","EK2: Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10383","2025-09-24 15:58:20"
"10415","JAP: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project JAP","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10415","2025-09-24 15:58:20"
"10448","EGF: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:19 UTC)","EGF: Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10448","2025-09-24 15:58:20"
"10449","EKF: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:43 UTC)","EKF: Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10449","2025-09-24 15:58:20"
"10481","EGN: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)","EGN: [Sub-task, Milestone, Task] Issue Type Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10481","2025-09-24 15:58:20"
"10514","ENGG: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:13 UTC)","ENGG: [Sub-task, Task] Issue Type Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10514","2025-09-24 15:58:20"
"10547","EK: Project Management Workflow Scheme (migrated)","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)","EK: [Task] Issue Type Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10547","2025-09-24 15:58:20"
"10580","TCET: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 14 Jul 2025 19:59 UTC)","TCET: [Sub-task, Milestone, Task] Issue Type Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10580","2025-09-24 15:58:20"
"10613","CET: Project Management Workflow Scheme","Project Management Workflow Scheme, generated during External To Cloud migration. (Migrated on 23 Jul 2025 12:47 UTC)","CET: [Sub-task, Milestone, Task] Issue Type Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10613","2025-09-24 15:58:20"
"10646","JPM: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project JPM","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10646","2025-09-24 15:58:20"
