"self","description","iconUrl","name","untranslatedName","id","statusCategory"
"https://onemain.atlassian.net/rest/api/3/status/1","The work item is open and ready for the assignee to start work on it.","https://onemain.atlassian.net/images/icons/statuses/open.png","Open","Open","1","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/4","This work item was once resolved, but the resolution was deemed incorrect. From here the work items are either reopened, or are closed.","https://onemain.atlassian.net/images/icons/statuses/reopened.png","Reopened","Reopened","4","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10005","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Needs Refinement","Needs Refinement","10005","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10006","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready for Dev","Ready for Dev","10006","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10011","","https://onemain.atlassian.net/","To Do","To Do","10011","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10109","Items that will be addressed after the Backlog is cleared","https://onemain.atlassian.net/images/icons/statuses/generic.png","Icebox","Icebox","10109","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10118","This status is managed internally by Jira Software","https://onemain.atlassian.net/","Pending Review","Pending Review","10118","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain.atlassian.net/images/icons/statuses/inprogress.png","In Progress","In Progress","3","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10026","","https://onemain.atlassian.net/","Requirements","Requirements","10026","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10027","","https://onemain.atlassian.net/","Design In Progress","Design In Progress","10027","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
