"id","name","self"
"10666","CLASS March Release Summary (R54)","https://onemain.atlassian.net/rest/api/3/dashboard/10666"
"10658","CLASS May Release (R56)","https://onemain.atlassian.net/rest/api/3/dashboard/10658"
"10620","CLASS May Release Summary (R56)","https://onemain.atlassian.net/rest/api/3/dashboard/10620"
"10729","CLASS November Release (R62)","https://onemain.atlassian.net/rest/api/3/dashboard/10729"
"10719","CLASS November Release Summary (R62)","https://onemain.atlassian.net/rest/api/3/dashboard/10719"
"10728","CLASS October Release (R61)","https://onemain.atlassian.net/rest/api/3/dashboard/10728"
"10718","CLASS October Release Summary (R61)","https://onemain.atlassian.net/rest/api/3/dashboard/10718"
"10777","CLASS Originations Team","https://onemain.atlassian.net/rest/api/3/dashboard/10777"
"10331","CLASS Post Release Change List","https://onemain.atlassian.net/rest/api/3/dashboard/10331"
"10727","CLASS September Release (R60)","https://onemain.atlassian.net/rest/api/3/dashboard/10727"
"10721","CLASS September Release Summary (R60)","https://onemain.atlassian.net/rest/api/3/dashboard/10721"
"10790","CLASS Verifications Team","https://onemain.atlassian.net/rest/api/3/dashboard/10790"
"11055","CLD Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11055"
"11468","CLD_Data_Work","https://onemain.atlassian.net/rest/api/3/dashboard/11468"
"11413","Closing Team Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11413"
"11259","Cloud Infrastructure SRE - Ticket Analytics","https://onemain.atlassian.net/rest/api/3/dashboard/11259"
"10886","Cloud Security - CENG ","https://onemain.atlassian.net/rest/api/3/dashboard/10886"
"10787","Cloud Security Metrics - Neil Cosson","https://onemain.atlassian.net/rest/api/3/dashboard/10787"
"10539","CMS Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10539"
"12892","CNE - June Sprint Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/12892"
"12696","CNE-2670: Network Observability Improvements","https://onemain.atlassian.net/rest/api/3/dashboard/12696"
"11367","CNE-Active Sprint Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11367"
"11493","CNSS-Collaboration Sprint Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11493"
"11450","CNSS-Telephony Sprint Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11450"
"11253","Collection Dashboard - Reporting","https://onemain.atlassian.net/rest/api/3/dashboard/11253"
"11068","Collections","https://onemain.atlassian.net/rest/api/3/dashboard/11068"
"11059","Collections Current Work Tracker","https://onemain.atlassian.net/rest/api/3/dashboard/11059"
"11667","Collections Execution","https://onemain.atlassian.net/rest/api/3/dashboard/11667"
"11275","Comms - Prod Incidents 2024","https://onemain.atlassian.net/rest/api/3/dashboard/11275"
"11276","COMMUNICATIONS 2024 Initiatives","https://onemain.atlassian.net/rest/api/3/dashboard/11276"
"10104","Communications Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10104"
"10406","Consolidated DevOps View (CI/MOI/DIS/ESYS Projects)","https://onemain.atlassian.net/rest/api/3/dashboard/10406"
"11023","Content Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11023"
"10298","Controls Group Technology Priorities","https://onemain.atlassian.net/rest/api/3/dashboard/10298"
"11601","Copy of 2025.02 UAT Dashboard lnk","https://onemain.atlassian.net/rest/api/3/dashboard/11601"
"10531","Copy of Beth's Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10531"
"11180","Copy of Cards Decisioning Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11180"
"12922","Copy of Cards QA Team Statistics","https://onemain.atlassian.net/rest/api/3/dashboard/12922"
"10441","Copy of CLASS February Release (R53)","https://onemain.atlassian.net/rest/api/3/dashboard/10441"
"10498","Copy of CLASS Post Release Change List","https://onemain.atlassian.net/rest/api/3/dashboard/10498"
"11465","Copy of Core Workflows","https://onemain.atlassian.net/rest/api/3/dashboard/11465"
"10668","Copy of Defect Analysis Dashboard - Vinu","https://onemain.atlassian.net/rest/api/3/dashboard/10668"
"10593","Copy of ESYS - Project Review Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10593"
"11334","Copy of Jira Standardization Rollout","https://onemain.atlassian.net/rest/api/3/dashboard/11334"
"11120","Copy of Loan Accounting System Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11120"
"12791","Copy of Loan Accounting System Dashboard for CLASS","https://onemain.atlassian.net/rest/api/3/dashboard/12791"
"11469","Copy of ORL Team Highlights","https://onemain.atlassian.net/rest/api/3/dashboard/11469"
"11137","Copy of Payment Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11137"
"11832","Copy of Payment Dashboard (Team 2)","https://onemain.atlassian.net/rest/api/3/dashboard/11832"
"11086","Copy of Payments","https://onemain.atlassian.net/rest/api/3/dashboard/11086"
"11134","Copy of Payments","https://onemain.atlassian.net/rest/api/3/dashboard/11134"
"10910","Copy of PO - Product Operations Lane","https://onemain.atlassian.net/rest/api/3/dashboard/10910"
"10778","Copy of Release Monitor Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10778"
"10897","Copy of Release Readiness","https://onemain.atlassian.net/rest/api/3/dashboard/10897"
"10929","Copy of Risk Dashboard - kaleshavali","https://onemain.atlassian.net/rest/api/3/dashboard/10929"
"11155","Copy of Secure Code Review Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11155"
"10857","Copy of Sept22 Rls Collection Worklist Defects","https://onemain.atlassian.net/rest/api/3/dashboard/10857"
"11352","Copy of SRE Past Week Work","https://onemain.atlassian.net/rest/api/3/dashboard/11352"
"11434","Copy of Workstream Analysis","https://onemain.atlassian.net/rest/api/3/dashboard/11434"
"11451","Core Workflow Overview ","https://onemain.atlassian.net/rest/api/3/dashboard/11451"
"11354","Core Workflows","https://onemain.atlassian.net/rest/api/3/dashboard/11354"
"11385","Core Workflows","https://onemain.atlassian.net/rest/api/3/dashboard/11385"
"10697","Corporate Systems - Active Issue Assignment","https://onemain.atlassian.net/rest/api/3/dashboard/10697"
"11102","Credit & Analytics","https://onemain.atlassian.net/rest/api/3/dashboard/11102"
"10968","Credit and Verification","https://onemain.atlassian.net/rest/api/3/dashboard/10968"
"10742","Credit Epic Tracking Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10742"
"10374","Credit Risk Projects & Testing","https://onemain.atlassian.net/rest/api/3/dashboard/10374"
"10769","Credit Risk Task Tracking Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10769"
"10507","Cross Lanes Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10507"
"10629","CRSK Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10629"
"11435","CTECH-Aged CAPS and CACS Jira issues","https://onemain.atlassian.net/rest/api/3/dashboard/11435"
"10311","CustCommEng - Development Tasks","https://onemain.atlassian.net/rest/api/3/dashboard/10311"
"10723","CustCommEng - Summary","https://onemain.atlassian.net/rest/api/3/dashboard/10723"
"10517","Cyber Risk and Controls","https://onemain.atlassian.net/rest/api/3/dashboard/10517"
"11193","CyberDevOps","https://onemain.atlassian.net/rest/api/3/dashboard/11193"
"10520","Cybersecurity & Technology Programs","https://onemain.atlassian.net/rest/api/3/dashboard/10520"
"10788","Cybersecurity - IAM ","https://onemain.atlassian.net/rest/api/3/dashboard/10788"
"10515","CyberSecurity - Identity and Access Management","https://onemain.atlassian.net/rest/api/3/dashboard/10515"
"10522","Cybersecurity Architecture","https://onemain.atlassian.net/rest/api/3/dashboard/10522"
"10736","Cybersecurity Cyber Risk Dashboard- Search","https://onemain.atlassian.net/rest/api/3/dashboard/10736"
"10973","Cybersecurity Dashboard - Backlog (CENG)","https://onemain.atlassian.net/rest/api/3/dashboard/10973"
"10760","Cybersecurity Dashboard - Backlog (COCR)","https://onemain.atlassian.net/rest/api/3/dashboard/10760"
"10752","Cybersecurity Dashboard - Backlog (CRAC)","https://onemain.atlassian.net/rest/api/3/dashboard/10752"
"10828","Cybersecurity Dashboard - COPS","https://onemain.atlassian.net/rest/api/3/dashboard/10828"
"10826","Cybersecurity Dashboard - Leo Ifediba","https://onemain.atlassian.net/rest/api/3/dashboard/10826"
"10516","CyberSecurity Engineering","https://onemain.atlassian.net/rest/api/3/dashboard/10516"
"10456","CyberSecurity Network Services & Security","https://onemain.atlassian.net/rest/api/3/dashboard/10456"
"10518","CyberSecurity Operations","https://onemain.atlassian.net/rest/api/3/dashboard/10518"
"10681","Cybersecurity Risk & Controls Dashboard - BENJAMIN ROMERO","https://onemain.atlassian.net/rest/api/3/dashboard/10681"
"10521","Cybersecurity Strategy & Business Operations","https://onemain.atlassian.net/rest/api/3/dashboard/10521"
"11010","Dana's Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11010"
"12723","Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/12723"
"12954","Dashboard for Collections Developers","https://onemain.atlassian.net/rest/api/3/dashboard/12954"
"10958","Data Engineering - Python / DFA","https://onemain.atlassian.net/rest/api/3/dashboard/10958"
"10641","Data Factory DevOps Stakeholder Review","https://onemain.atlassian.net/rest/api/3/dashboard/10641"
"10523","Data Protection and Governance","https://onemain.atlassian.net/rest/api/3/dashboard/10523"
"10607","Datacenter DevOps Stakeholder Review","https://onemain.atlassian.net/rest/api/3/dashboard/10607"
"10424","Datacenter DevOps Tracking","https://onemain.atlassian.net/rest/api/3/dashboard/10424"
"10412","Dave Krietemeyer Dashboard for Developers","https://onemain.atlassian.net/rest/api/3/dashboard/10412"
"10642","DBE DevOps Stakeholder Review","https://onemain.atlassian.net/rest/api/3/dashboard/10642"
"10130","DBE Operations Metrics","https://onemain.atlassian.net/rest/api/3/dashboard/10130"
"10127","DBE Sprints Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10127"
"10100","DBE Team Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10100"
"10252","DBE-SERVICING","https://onemain.atlassian.net/rest/api/3/dashboard/10252"
"10744","DDD for derek   ","https://onemain.atlassian.net/rest/api/3/dashboard/10744"
"10000","Default dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10000"
"10265"," Default Dashboard for Developers","https://onemain.atlassian.net/rest/api/3/dashboard/10265"
"10835","Default Dashboard for Engineering Leads","https://onemain.atlassian.net/rest/api/3/dashboard/10835"
"10286","Default Dashboard for IT Managers","https://onemain.atlassian.net/rest/api/3/dashboard/10286"
"10582","Default Dashboard for Mobius Team","https://onemain.atlassian.net/rest/api/3/dashboard/10582"
"10836","Default Dashboard for Product Leads","https://onemain.atlassian.net/rest/api/3/dashboard/10836"
"10287","Default Dashboard for System Managers","https://onemain.atlassian.net/rest/api/3/dashboard/10287"
"10285","Default Dashboard for Users","https://onemain.atlassian.net/rest/api/3/dashboard/10285"
"10474","Default Testers Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10474"
"10663","Defect Analysis Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10663"
"10966","Defect Dashboard CLSS/ES","https://onemain.atlassian.net/rest/api/3/dashboard/10966"
"10636","Defects - AOP","https://onemain.atlassian.net/rest/api/3/dashboard/10636"
"10471","Department - Finance Project Confirmation","https://onemain.atlassian.net/rest/api/3/dashboard/10471"
"11293","Deployment Approval Dashboard AB/CW","https://onemain.atlassian.net/rest/api/3/dashboard/11293"
"11022","Deployment Readiness Current Release","https://onemain.atlassian.net/rest/api/3/dashboard/11022"
"13450","Derisking SAS - Project Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/13450"
"10363","Derrick's Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10363"
"10211","Developer Default Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10211"
"11246","DevOps 23","https://onemain.atlassian.net/rest/api/3/dashboard/11246"
"10608","DevOps Audit","https://onemain.atlassian.net/rest/api/3/dashboard/10608"
"11011","DevOps Stakeholder Review for Abe","https://onemain.atlassian.net/rest/api/3/dashboard/11011"
"10179","Digital Jira Metrics","https://onemain.atlassian.net/rest/api/3/dashboard/10179"
"10135","Digital Originations Testing","https://onemain.atlassian.net/rest/api/3/dashboard/10135"
"11316","DK working dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11316"
"11142","DocuSign Project","https://onemain.atlassian.net/rest/api/3/dashboard/11142"
