"Id","Name","Description","IsSubtask","IconUrl","Self","GeneratedAt"
"10135","Improvement","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10309?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10135","2025-09-23 18:09:08"
"10163","MDCMS Story","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10315?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10163","2025-09-23 18:09:08"
"10165","Integrated Story","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10165","2025-09-23 18:09:08"
"10121","Design","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10322?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10121","2025-09-23 18:09:08"
"10123","Task","Generate a Security Token from the App Server","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10123","2025-09-23 18:09:08"
"10152","Defect","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10612?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10152","2025-09-23 18:09:08"
"10156","Learning Topic","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10315?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10156","2025-09-23 18:09:08"
"10130","Task","Tasks track small, distinct pieces of work.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10130","2025-09-23 18:09:08"
"10186","Idea","Discovery idea","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10322?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10186","2025-09-23 18:09:08"
"10153","Non Code","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10306?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10153","2025-09-23 18:09:08"
"10007","Task","A small, distinct piece of work.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10007","2025-09-23 18:09:08"
"10154","Idea","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10322?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10154","2025-09-23 18:09:08"
