"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"customfield_10732","customfield_10732","Additional Pricing Required (migrated)","True","True","True","True","Additional Pricing Required (migrated)[Radio Buttons], cf[10732], Additional Pricing Required (migrated)","option",,"com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons","10732",
"customfield_11941","customfield_11941","Atlassian project status","True","True","True","True","Atlassian project status, cf[11941]","string",,"jira.polaris:atlassian-project-status","11941",
"customfield_10733","customfield_10733","Collateral Preparer (migrated)","True","True","True","True","Collateral Preparer (migrated)[User Picker (single user)], cf[10733], Collateral Preparer (migrated)","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10733",
"customfield_11944","customfield_11944","Linked items","True","True","True","True","cf[11944], Linked items","number",,"jira.polaris:count-linked-issues","11944",
"customfield_10612","customfield_10612","Category (migrated)","True","True","True","True","cf[10612], Category (migrated), Category (migrated)[Dropdown]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10612",
"customfield_11943","customfield_11943","Comments","True","True","True","True","cf[11943], Comments","number",,"jira.polaris:count-issue-comments","11943",
"customfield_10734","customfield_10734","Treasury Approver 2 (migrated)","True","True","True","True","Treasury Approver 2 (migrated), cf[10734], Treasury Approver 2 (migrated)[User Picker (single user)]","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10734",
"aggregatetimeoriginalestimate","aggregatetimeoriginalestimate","? Original Estimate","False","False","True","False","","number",,,,"aggregatetimeoriginalestimate"
"customfield_10735","customfield_10735","Recovery (migrated)","True","True","True","True","Recovery (migrated)[Number], Recovery (migrated), cf[10735]","number",,"com.atlassian.jira.plugin.system.customfieldtypes:float","10735",
"customfield_11946","customfield_11946","Delivery status","True","True","True","True","cf[11946], Delivery status","string",,"jira.polaris:delivery-status","11946",
"customfield_10736","customfield_10736","Collateral Approver (migrated)","True","True","True","True","Collateral Approver (migrated)[User Picker (single user)], cf[10736], Collateral Approver (migrated)","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10736",
"customfield_11945","customfield_11945","Delivery progress","True","True","True","True","Delivery progress, cf[11945]","string",,"jira.polaris:delivery-progress","11945",
"customfield_10737","customfield_10737","Risk Notes (migrated)","True","True","True","True","cf[10737], Risk Notes (migrated)[Paragraph], Risk Notes (migrated)","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10737",
"customfield_10979","customfield_10979","Category (migrated) (migrated)","True","True","True","True","Category (migrated) (migrated)[Dropdown], Category (migrated) (migrated), cf[10979]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10979",
"customfield_10738","customfield_10738","UPB (migrated)","True","True","True","True","UPB (migrated)[Number], cf[10738], UPB (migrated)","number",,"com.atlassian.jira.plugin.system.customfieldtypes:float","10738",
