"Field Name","Field ID","Issue Count"
"Requesting Department","customfield_10216","375"
"Security Code Review (migrated) (migrated) (migrated)","customfield_11548","122850"
"Risk Approver Required (migrated 2) (migrated)","customfield_11668","122850"
"Size","customfield_10217","809"
"Remaining Estimate","timeestimate","30076"
"SDD Required","customfield_10218","323"
"Lane - Capabilities","customfield_10219","3303"
"Status","status","207316"
"Resource Platform","customfield_10330","16"
"Deployment Approver","customfield_10210","16034"
"Severity","customfield_10694","2041"
"Deployment Approval Date","customfield_10211","16010"
"Environment Deployed","customfield_10212","0"
"Configuration Item ID (migrated) (migrated)","customfield_11665","122850"
"RoadMap","customfield_11786","0"
"Reported during","customfield_10213","547"
"Goal","customfield_11785","0"
"Risk and Impact Analysis (migrated) (migrated) (migrated)","customfield_11664","122850"
"Targeted Communication Outside of Training Deck?","customfield_10324","135"
"Approvers: Design Review","customfield_10204","1248"
"Problem Ticket ID","customfield_10325","10"
"Approvers: Code Review","customfield_10205","1815"
"Impact","customfield_11779","0"
"Start Date (migrated) (migrated)","customfield_11416","46"
"Problem Severity","customfield_10326","1"
"Task Approver","customfield_10206","9271"
"Vulnerability","customfield_11778",
"Deployed to Pricing","customfield_10327","14"
"?? Remaining Estimate","aggregatetimeestimate",
"Task Approval Date","customfield_10207","9260"
"Deployed to Pricing Status","customfield_10328","14"
"Freeze Approver","customfield_10208","98"
"Freeze Approval Date","customfield_10209","86"
"Creator","creator","207316"
"Deployment Closing Validation","customfield_11771","0"
"Risk and Impact Analysis (migrated)","customfield_10682","159833"
"UAT or Validate Results","customfield_10320","754"
"Configuration Item ID","customfield_10683","22285"
"Communicated in Training Deck?","customfield_10321","140"
"Approvers: QA","customfield_10200","1858"
"Policy and Procedure Impact","customfield_10322","127"
"Approvers: UAT","customfield_10201","1250"
"Modeling Accounting Approver","customfield_10685","0"
"Training department","customfield_10323","126"
"Risk Approver Required","customfield_10686","159833"
"Security Code Review (migrated)","customfield_10565","22285"
"Emergency Deployment Approver","customfield_10313","11"
"Emergency Deployment Approval Date","customfield_10314","11"
"Lane Name","customfield_10315","3402"
"Team Name","customfield_10316","2360"
"Customer Facing?","customfield_10317","285"
"Pilot","customfield_10318","104"
"Operations Owner","customfield_10319","174"
"Time Spent","timespent","21477"
"?? Time Spent","aggregatetimespent",
"Project overview key","customfield_11762","1"
"Functional Test Status","customfield_10310","52"
"Design","customfield_11761",
"Start Date (migrated)","customfield_10432","46"
"UAT Test Status","customfield_10311","186"
"Sum StoryPoints ","customfield_11764","0"
"ICON Preparer","customfield_10553","3"
"Documented Test Plan","customfield_10312","1402"
"Project overview status","customfield_11763","1"
"Project Requirement Review Date","customfield_10302","10"
"Impact (migrated) (migrated) (migrated)","customfield_11512","122850"
"Business/QA Review Date","customfield_10303","22"
"Backout Plan","customfield_10304","1962"
"Scheduler Change","customfield_10305","43"
"Table Change","customfield_10306","60"
"Table Alter","customfield_10307","15"
"Large Table Change","customfield_10308","20"
"Name of table","customfield_10309","18"
"Work Ratio","workratio","23437"
"Support Ticket","customfield_10301","0"
"Product Area","customfield_11865","1"
"Documents","customfield_11864","0"
"Resolution (migrated)","customfield_11743","19"
"Implementation Plan (migrated) (migrated) (migrated)","customfield_11628","122850"
"Health Status Comment","customfield_10419","17"
"Effort","customfield_11861","0"
"Value","customfield_11860","0"
"Publication Description","customfield_10652","20"
"Confidence","customfield_11863","0"
"Idea short description","customfield_11862","8"
"Customer segments","customfield_11854","3"
"UAT Testing Status","customfield_10765","176"
"Designs ready","customfield_11856","0"
"Design & Accessibility Review Required","customfield_10766","297"
"Spec ready","customfield_11855","0"
"Implementation Plan (migrated)","customfield_10646","159833"
"Project target","customfield_11858","7"
"Begin Date (migrated 2)","customfield_10769","46"
"Project start","customfield_11857","7"
"Additional Pricing Required","customfield_10648","140591"
"ICON Approver","customfield_10649","3"
"Impact (migrated)","customfield_10529","159833"
"Category","customfield_11859","0"
"Environment Type","customfield_10760","2794"
"External issue ID","customfield_11970","69"
"Environment Name","customfield_10761","1871"
"Teams","customfield_11852","7"
"Deployment State","customfield_10753","0"
"Resolution","customfield_10754","48"
"Goal","customfield_11847","25"
"Workfront ID","customfield_10757","88"
"Reporting Source System","customfield_10758","250"
"Source System ID","customfield_10759","221"
"Roadmap","customfield_11848","27"
"Integration Target Date","customfield_10190","95"
"QA Target Date","customfield_10191","317"
"Testing Priority","customfield_10192","75"
"CI/CD","customfield_10193","478"
"Design Review Date","customfield_10194","1557"
"Change type (migrated 3)","customfield_11162","30"
"Reviewers: Design Review","customfield_10195","1323"
"Code Review Date","customfield_10196","2365"
