"ProjectKey","ConnectedProject","LinkCount"
"CISRE","DEP","1"
"CIA","MCCE","4"
"CIA","UX","2"
"CIA","UN","2"
"CIA","QUAL","1"
"CIA","DE","1"
"CIA","UPT","1"
"CES","CRSK","9"
"CES","ESDL","8"
"CES","DE","5"
"CES","PDS","4"
"CES","DARC","3"
"CES","GENAI","1"
"CES","CTGR","1"
"CES","SRE","1"
"CES","CNS","1"
"CES","LAS","1"
"CENG","DCI","5"
"CENG","PDS","1"
"CDL","DAWA","3"
"CDL","ME","2"
"CDL","QUAL","1"
"CDL","DBA","1"
"CCT","DCOM","2"
"CCP","ONE","2"
"CCP","DEP","1"
"CCP","CES","1"
"CCOL","CNSS","1"
"CCOL","EA","1"
"CCAL","CRSK","11"
"CCAL","QUAL","1"
"CBRE","CRSK","2"
"CBRE","COMP","2"
"CARD","CCP","37"
"CARD","CDL","18"
"CARD","CES","1"
"CARD","MCCE","1"
"CARD","MCCP","1"
"CARC","EDME","1"
"CARC","GENAI","1"
"CARC","COPS","1"
"CARC","ENGOPS","1"
"CAPS","CNE","1"
"CAPE","CRSK","12"
"CAPE","CCAL","9"
"CAPE","CES","9"
"CAPE","QUAL","5"
"CAPE","COR","2"
"CAPE","LAS","2"
"CAD","DE","2"
"CAD","CBRE","2"
"CAD","FLDR","2"
"CAD","UPT","2"
"CAD","EA","1"
"CAD","IMG","1"
"CACS","CNE","8"
"CACS","CAPS","5"
"CACS","CISRE","3"
"CACS","MCCE","2"
"CACS","CARD","2"
"CACS","DCI","2"
"CACS","CNS","1"
"CACS","DEP","1"
"CACS","CDAD","1"
"CACS","CTEM","1"
"BINT","DAWA","9"
"BINT","QUAL","1"
"AUT","CES","18"
"AUT","MCLNE","4"
"AUT","CAD","4"
"AUT","QUAL","3"
"AUT","ENGOPS","3"
"AUT","COR","3"
"AUT","IMG","1"
"AUT","FORMS","1"
"AI","CENG","8"
"AI","EA","5"
"AI","DCI","5"
"AI","DAWA","5"
"AI","CRSK","1"
"ACQE","DBA","2"
"ACQE","UPT","1"
"ACQE","SRE","1"
"ACQ","UX","15"
"ACQ","ACQE","5"
"ACQ","MCCP","5"
"ACQ","CACS","2"
"ACQ","SIGN","2"
"ACQ","COR","2"
"ACQ","CRSK","2"
"ACQ","DBA","1"
"ACQ","DBEAN","1"
"ACQ","CISRE","1"
"ACQ","MCACQ","1"
"ACM","MCLD","1"
