"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ESDL-67","https://onemain.atlassian.net/browse/ESDL-67","ESDL1-148","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-148","Story","Tools and support for QA team","ESDL-60","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-414","https://onemain.atlassian.net/browse/ESDL-414","ESDL1-149","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-149","Story","ESDL - Default Timestamp Fix in Parquet files","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-413","https://onemain.atlassian.net/browse/ESDL-413","ESDL1-150","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-150","Story","ESDL - Fix EKS Cluster Owner Roles","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-72","https://onemain.atlassian.net/browse/ESDL-72","ESDL1-151","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-151","Story","IaaC for DB2 ingestion","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-412","https://onemain.atlassian.net/browse/ESDL-412","ESDL1-152","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-152","Story","BAU Change - Add column classapp.central_approval_hierarchy","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-112","https://onemain.atlassian.net/browse/ESDL-112","ESDL1-153","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-153","Story","Define bucket structure","ESDL-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-111","https://onemain.atlassian.net/browse/ESDL-111","ESDL1-154","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-154","Story","Integrate pipelines with Event Bridge","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-109","https://onemain.atlassian.net/browse/ESDL-109","ESDL1-155","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-155","Story","Run simple data quality checks (raw - prepared data checks)","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-108","https://onemain.atlassian.net/browse/ESDL-108","ESDL1-156","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-156","Story","Load data from S3 into Snowflake","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-106","https://onemain.atlassian.net/browse/ESDL-106","ESDL1-157","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-157","Story","[DB2 | z-series] Convert raw CSV files into parquet in prepared area - Glue - 80%","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-92","https://onemain.atlassian.net/browse/ESDL-92","ESDL1-158","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-158","Story","Migration to PROD","ESDL-62","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-86","https://onemain.atlassian.net/browse/ESDL-86","ESDL1-159","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-159","Story","Iaac for DynamoDB","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-85","https://onemain.atlassian.net/browse/ESDL-85","ESDL1-160","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-160","Story","IaaC for ECR","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-116","https://onemain.atlassian.net/browse/ESDL-116","ESDL1-161","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-161","Story","Define security user roles","ESDL-95","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-83","https://onemain.atlassian.net/browse/ESDL-83","ESDL1-162","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-162","Story","IaaC for step function","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-81","https://onemain.atlassian.net/browse/ESDL-81","ESDL1-163","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-163","Story","IaaC for Glue catalog","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-80","https://onemain.atlassian.net/browse/ESDL-80","ESDL1-164","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-164","Story","IaaC for Glue jobs","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-79","https://onemain.atlassian.net/browse/ESDL-79","ESDL1-165","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-165","Story","IaaC for Event Bridge","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-77","https://onemain.atlassian.net/browse/ESDL-77","ESDL1-166","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-166","Story","IaaC for EKS Cluster","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-76","https://onemain.atlassian.net/browse/ESDL-76","ESDL1-167","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-167","Story","IaaC for S3 storage","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
