"id","name","description","defaultWorkflow","issueTypeMappings","self"
"10167","ERD: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Enterprise Release Distribution","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10167"
"10168","SA: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project Security and Audit","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10168"
"10169","WA: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project Web Administration","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10169"
"10171","Workflow scheme for Project Information Security","Workflow scheme for Project Information Security","Workflow for Project Information Security","@{10008=Workflow for Project Information Security; 10117=Workflow for Project Information Security; 10007=Workflow for Project Information Security; 10139=Workflow for Project Information Security; 10009=Workflow for Project Information Security; 10110=Workflow for Project Information Security; 10000=Workflow for Project Information Security; 10121=Workflow for Project Information Security; 10010=Workflow for Project Information Security; 10112=Workflow for Project Information Security; 10134=Workflow for Project Information Security; 10122=Workflow for Project Information Security; 10111=Workflow for Project Information Security; 10133=Workflow for Project Information Security; 10114=Workflow for Project Information Security; 10135=Workflow for Project Information Security; 10113=Workflow for Project Information Security; 10014=Workflow for Project Information Security; 10006=Workflow for Project Information Security; 10116=Workflow for Project Information Security; 10115=Workflow for Project Information Security; 10126=Workflow for Project Information Security}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10171"
"10173","DXRT: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","DBE UX Research Infrastructure Workflow","@{10008=DBE UX Research Workflow 1; 10000=DBE UX Research Workflow 1; 10007=DBE UX Research Workflow 1; 10009=DBE UX Research Workflow 1}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10173"
"10174","ESDL: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project ESDL","@{10110=Standard Level Issues Workflow; 10112=Standard Level Issues Workflow; 10111=Standard Level Issues Workflow; 10114=Standard Level Issues Workflow; 10113=Standard Level Issues Workflow; 10115=Standard Level Issues Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10174"
"10176","Cloud Infrastructure (CI) Workflows","Basic Workflow with Planning statuses and Development Statuses without Code Review.","Epic Workflow","@{10008=Sub-Task Workflow; 10007=CI Default Workflow; 10009=CI Bug Workflow; 10000=Epic Workflow; 10010=CI Default Workflow; 10116=Epic Workflow; 10006=CI Default Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10176"
"10177","Site Reliability Engineering (SRE) Workflows","Basic Workflow with Planning statuses and Development Statuses without Code Review.","SRE Epic Workflow","@{10008=SRE Sub-Task Workflow; 10007=SRE Default Workflow; 10009=SRE Bug Workflow; 10000=SRE Epic Workflow; 10010=SRE Default Workflow; 10158=SRE Service Request Workflow; 10006=SRE Default Workflow; 10116=SRE Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10177"
"10178","SRE: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project SRE","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10178"
"10179","EI: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project EI","@{10008=Workflow for Project EI; 10000=Workflow for Project EI; 10007=Workflow for Project EI}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10179"
"10180","PRICE: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project PRICE","@{10000=DBE Expanded Epic Workflow; 10116=DBE Expanded Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10180"
"10181","Pricing Offers Credit Policy Workflow Scheme","","Pricing Task Workflow","@{10008=Pricing Task Workflow; 10000=Pricing Epic Workflow; 10007=Pricing Task Workflow; 10116=Pricing Initiative Workflow 1}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10181"
"10182","LTO: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project LTO","@{10008=LTO Story Workflow; 10117=LTO Story Workflow; 10007=LTO Story Workflow; 10009=LTO Story Workflow; 10000=LTO Epic Workflow; 10010=LTO Story Workflow; 10006=LTO Story Workflow; 10116=LTO Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10182"
"10183","LTO: Software Simplified Workflow Scheme (1)","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project LTO (1)","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10183"
"10184","POS: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project POS","@{10008=Point of Sale Subtask Workflow; 10117=Point of Sale Bug Workflow; 10139=Point of Sale Issue Workflow; 10007=Point of Sale Task Workflow; 10009=Point of Sale Bug Workflow; 10000=Point of Sale Epic Workflow; 10010=Point of Sale Spike Workflow; 10135=Point of Sale Improvements Workflow; 10006=Point of Sale Story Workflow; 10116=Point of Sale Epic Workflow; 10126=Point of Sale Risk Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10184"
