Environment,Name,SourceID (OneMain),TargetID (OneMainFinancial),MatchStatus
Source,Sum StoryPoints ,customfield_11764,,No Match
Source,ICON Preparer,customfield_10553,,No Match
Source,Documented Test Plan,customfield_10312,,No Match
Source,Project overview status,customfield_11763,customfield_10035,Different ID
Source,Project Requirement Review Date,customfield_10302,,No Match
Source,Impact (migrated) (migrated) (migrated),customfield_11512,,No Match
Source,Business/QA Review Date,customfield_10303,,No Match
Source,Backout Plan,customfield_10304,,No Match
Source,Scheduler Change,customfield_10305,,No Match
Source,Table Change,customfield_10306,,No Match
Source,Table Alter,customfield_10307,,No Match
Source,Large Table Change,customfield_10308,,No Match
Source,Name of table,customfield_10309,,No Match
Source,Work Ratio,workratio,workratio,Jira Native
Source,Support Ticket,customfield_10301,,No Match
Source,Product Area,customfield_11865,,No Match
Source,Documents,customfield_11864,,No Match
Source,Resolution (migrated),customfield_11743,,No Match
Source,Implementation Plan (migrated) (migrated) (migrated),customfield_11628,,No Match
Source,Health Status Comment,customfield_10419,,No Match
Source,Effort,customfield_11861,,No Match
Source,Value,customfield_11860,,No Match
Source,Publication Description,customfield_10652,,No Match
Source,Confidence,customfield_11863,,No Match
Source,Idea short description,customfield_11862,,No Match
Source,Customer segments,customfield_11854,,No Match
Source,UAT Testing Status,customfield_10765,,No Match
Source,Designs ready,customfield_11856,,No Match
Source,Design & Accessibility Review Required,customfield_10766,,No Match
Source,Spec ready,customfield_11855,,No Match
Source,Implementation Plan (migrated),customfield_10646,,No Match
Source,Project target,customfield_11858,,No Match
Source,Begin Date (migrated 2),customfield_10769,,No Match
Source,Project start,customfield_11857,,No Match
Source,Additional Pricing Required,customfield_10648,,No Match
Source,ICON Approver,customfield_10649,,No Match
Source,Impact (migrated),customfield_10529,,No Match
Source,Category,customfield_11859,customfield_10190,Different ID
Source,Environment Type,customfield_10760,customfield_10096,Different ID
Source,External issue ID,customfield_11970,customfield_10250,Different ID
Source,Environment Name,customfield_10761,customfield_10124,Different ID
Source,Teams,customfield_11852,,No Match
